"created_at","id_str","text","geo","user_id","user_follower_count","location","full_text","original_text","word_tokens","cleaned_text","sentiment_score","sentiment"
"Tue Nov 02 15:41:37 +0000 2021","1455560739062702088","@PaulWells69 Charge port is on the left side of a Tesla. So this etron using the right side charger is blocking the… https://t.co/DDfouaNGza","NA","855795055","5895",NA,"@PaulWells69 Charge port is on the left side of a Tesla. So this etron using the right side charger is blocking the stall next to if a Tesla was to come and charge there.","@PaulWells69 Charge port is on the left side of a Tesla. So this etron using the right side charger is blocking the stall next to if a Tesla was to come and charge there.","c(""@PaulWells69"", ""charge"", ""port"", ""is"", ""on"", ""the"", ""left"", ""side"", ""of"", ""a"", ""tesla"", ""so"", ""this"", ""etron"", ""using"", ""the"", ""right"", ""side"", ""charger"", ""is"", ""blocking"", ""the"", ""stall"", ""next"", ""to"", ""if"", ""a"", ""tesla"", ""was"", ""to"", ""come"", ""and"", ""charge"", ""there"")","PaulWells69 Charge port is on the left side of a Tesla. So this etron using the right side charger is blocking the stall next to if a Tesla was to come and charge there.","-0.2","negative"
"Tue Nov 02 15:41:37 +0000 2021","1455560737393414146","(https://t.co/eOsQVakj6c):#Elon #Musk Is The First Person Worth More Than $300 Billion, But Hertz Uncertainty Threa… https://t.co/hodregQJDp","NA","3534222021","898",NA,"(https://t.co/eOsQVakj6c):#Elon #Musk Is The First Person Worth More Than $300 Billion, But Hertz Uncertainty Threatens Tesla Stock Tear : The Tesla CEO crossed the $300 billion threshold Monday, but his fortune is off to a rocky start .. #TrendsSpy https://t.co/lbI1D9alAl https://t.co/unWrxwilSF","(https://t.co/eOsQVakj6c):#Elon #Musk Is The First Person Worth More Than $300 Billion, But Hertz Uncertainty Threatens Tesla Stock Tear : The Tesla CEO crossed the $300 billion threshold Monday, but his fortune is off to a rocky start .. #TrendsSpy https://t.co/lbI1D9alAl https://t.co/unWrxwilSF","c(""httpstcoeosqvakj6celon"", ""#Musk"", ""is"", ""the"", ""first"", ""person"", ""worth"", ""more"", ""than"", ""$300"", ""billion"", ""but"", ""hertz"", ""uncertainty"", ""threatens"", ""tesla"", ""stock"", ""tear"", ""the"", ""tesla"", ""ceo"", ""crossed"", ""the"", ""$300"", ""billion"", ""threshold"", ""monday"", ""but"", ""his"", ""fortune"", ""is"", ""off"", ""to"", ""a"", ""rocky"", ""start"", ""#TrendsSpy"", ""https://t.co/lbI1D9alAl"", ""https://t.co/unWrxwilSF"")","(Musk Is The First Person Worth More Than $300 Billion, But Hertz Uncertainty Threatens Tesla Stock Tear : The Tesla CEO crossed the $300 billion threshold Monday, but his fortune is off to a rocky start .. TrendsSpy ","-0.05","negative"
"Tue Nov 02 15:41:38 +0000 2021","1455560741948432385","@davidgokhshtein Please retweet and help get this message to the @elonmusk

Hey @elonmusk Read and know ""I'm not a… https://t.co/7Rbam8Zj9Q","NA","1396525741978890246","2",NA,"@davidgokhshtein Please retweet and help get this message to the @elonmusk

Hey @elonmusk Read and know ""I'm not a beggar. I am poor"" https://t.co/lzjTKpKqX8","@davidgokhshtein Please retweet and help get this message to the @elonmusk

Hey @elonmusk Read and know ""I'm not a beggar. I am poor"" https://t.co/lzjTKpKqX8","c(""@davidgokhshtein"", ""please"", ""retweet"", ""and"", ""help"", ""get"", ""this"", ""message"", ""to"", ""the"", ""@elonmusk"", ""hey"", ""@elonmusk"", ""read"", ""and"", ""know"", ""im"", ""not"", ""a"", ""beggar"", ""i"", ""am"", ""poor"", ""https://t.co/lzjTKpKqX8"")","davidgokhshtein Please retweet and help get this message to the elonmusk

Hey elonmusk Read and know ""I'm not a beggar. I am poor"" ","0","neutral"
"Tue Nov 02 15:41:38 +0000 2021","1455560742703288323","@M04231844 @TWModern @elonmusk Actually it`s called Classical Chinese instead of Ancient Chinese. In ancient China,… https://t.co/VL8L0L9Ae5","NA","1106427264693125121","7",NA,"@M04231844 @TWModern @elonmusk Actually it`s called Classical Chinese instead of Ancient Chinese. In ancient China, Classical Chinese was mainly used for written expression and Mandarin was mainly spoken.","@M04231844 @TWModern @elonmusk Actually it`s called Classical Chinese instead of Ancient Chinese. In ancient China, Classical Chinese was mainly used for written expression and Mandarin was mainly spoken.","c(""@M04231844"", ""@TWModern"", ""@elonmusk"", ""actually"", ""it`s"", ""called"", ""classical"", ""chinese"", ""instead"", ""of"", ""ancient"", ""chinese"", ""in"", ""ancient"", ""china"", ""classical"", ""chinese"", ""was"", ""mainly"", ""used"", ""for"", ""written"", ""expression"", ""and"", ""mandarin"", ""was"", ""mainly"", ""spoken"")","M04231844 TWModern elonmusk Actually it`s called Classical Chinese instead of Ancient Chinese. In ancient China, Classical Chinese was mainly used for written expression and Mandarin was mainly spoken.","0.85","positive"
"Tue Nov 02 15:41:40 +0000 2021","1455560752006410251","@CryptoKing____ @sol_demon_ @elonmusk @joerogan @solana <U+0001F440>@elonmusk is this your crypto burner","NA","1437240159452286977","648",NA,NA,"@CryptoKing____ @sol_demon_ @elonmusk @joerogan @solana <U+0001F440>@elonmusk is this your crypto burner","c(""@CryptoKing"", ""@soldemon"", ""@elonmusk"", ""@joerogan"", ""@solana"", ""<U+0001F440>elonmusk"", ""is"", ""this"", ""your"", ""crypto"", ""burner"")","CryptoKing____ sol_demon_ elonmusk joerogan solana <U+0001F440>elonmusk is this your crypto burner","-0.5","negative"
"Tue Nov 02 15:41:41 +0000 2021","1455560754262777856","@Mushav77 @cryptoking_365 I'm holding #burndoge

@burn_doge
@cz_binance 
@elonmusk 
@MattWallace888","NA","1243548077249761285","65",NA,NA,"@Mushav77 @cryptoking_365 I'm holding #burndoge

@burn_doge
@cz_binance 
@elonmusk 
@MattWallace888","c(""@Mushav77"", ""@cryptoking365"", ""im"", ""holding"", ""#burndoge"", ""@burndoge"", ""@czbinance"", ""@elonmusk"", ""@MattWallace888"")","Mushav77 cryptoking_365 I'm holding burndoge

burn_doge
cz_binance 
elonmusk 
MattWallace888","-0.4","negative"
"Tue Nov 02 15:41:41 +0000 2021","1455560755416293377","@elonmusk @MartinKulldorff @joerogan @DrJBhattacharya You're smarter than that, don't be fooled by these Republican… https://t.co/Va75znlmx3","NA","46903864","239",NA,"@elonmusk @MartinKulldorff @joerogan @DrJBhattacharya You're smarter than that, don't be fooled by these Republicans who push false narratives....","@elonmusk @MartinKulldorff @joerogan @DrJBhattacharya You're smarter than that, don't be fooled by these Republicans who push false narratives....","c(""@elonmusk"", ""@MartinKulldorff"", ""@joerogan"", ""@DrJBhattacharya"", ""youre"", ""smarter"", ""than"", ""that"", ""dont"", ""be"", ""fooled"", ""by"", ""these"", ""republicans"", ""who"", ""push"", ""false"", ""narratives"")","elonmusk MartinKulldorff joerogan DrJBhattacharya You're smarter than that, don't be fooled by these Republicans who push false narratives....","-0.9","negative"
"Tue Nov 02 15:41:44 +0000 2021","1455560766547914757","@elonmusk @DrEliDavid @elonmusk. The UN could buy shares of companies  which has the potential to grow, so that the… https://t.co/hFqNgggLfl","NA","1422497013178912769","2",NA,"@elonmusk @DrEliDavid @elonmusk. The UN could buy shares of companies  which has the potential to grow, so that these companies would reinvest and hire these hungry  people and these people would be able to make money and would be able to get their own food. Hence solving world hunger.","@elonmusk @DrEliDavid @elonmusk. The UN could buy shares of companies  which has the potential to grow, so that these companies would reinvest and hire these hungry  people and these people would be able to make money and would be able to get their own food. Hence solving world hunger.","c(""@elonmusk"", ""@DrEliDavid"", ""@elonmusk"", ""the"", ""un"", ""could"", ""buy"", ""shares"", ""of"", ""companies"", ""which"", ""has"", ""the"", ""potential"", ""to"", ""grow"", ""so"", ""that"", ""these"", ""companies"", ""would"", ""reinvest"", ""and"", ""hire"", ""these"", ""hungry"", ""people"", ""and"", ""these"", ""people"", ""would"", ""be"", ""able"", ""to"", ""make"", ""money"", ""and"", ""would"", ""be"", ""able"", ""to"", ""get"", ""their"", ""own"", ""food"", ""hence"", ""solving"", ""world"", ""hunger"")","elonmusk DrEliDavid elonmusk. The UN could buy shares of companies  which has the potential to grow, so that these companies would reinvest and hire these hungry  people and these people would be able to make money and would be able to get their own food. Hence solving world hunger.","2.45","positive"
"Tue Nov 02 15:41:44 +0000 2021","1455560768380940288","@elonmusk @RenataKonkoly @Forbes Huge fan of Tesla and Elon.  Those factories shutdown because of company's decisio… https://t.co/U5pNelxX5d","NA","505263922","4",NA,"@elonmusk @RenataKonkoly @Forbes Huge fan of Tesla and Elon.  Those factories shutdown because of company's decisions, not the UAW.   All non-tesla factories will continue to close if they don't get on the ball.   Labor is always the easy blame.  Maybe build and sell better vehicles like Tesla is.","@elonmusk @RenataKonkoly @Forbes Huge fan of Tesla and Elon.  Those factories shutdown because of company's decisions, not the UAW.   All non-tesla factories will continue to close if they don't get on the ball.   Labor is always the easy blame.  Maybe build and sell better vehicles like Tesla is.","c(""@elonmusk"", ""@RenataKonkoly"", ""@Forbes"", ""huge"", ""fan"", ""of"", ""tesla"", ""and"", ""elon"", ""those"", ""factories"", ""shutdown"", ""because"", ""of"", ""companys"", ""decisions"", ""not"", ""the"", ""uaw"", ""all"", ""nontesla"", ""factories"", ""will"", ""continue"", ""to"", ""close"", ""if"", ""they"", ""dont"", ""get"", ""on"", ""the"", ""ball"", ""labor"", ""is"", ""always"", ""the"", ""easy"", ""blame"", ""maybe"", ""build"", ""and"", ""sell"", ""better"", ""vehicles"", ""like"", ""tesla"", ""is"")","elonmusk RenataKonkoly Forbes Huge fan of Tesla and Elon.  Those factories shutdown because of company's decisions, not the UAW.   All non-tesla factories will continue to close if they don't get on the ball.   Labor is always the easy blame.  Maybe build and sell better vehicles like Tesla is.","1.45","positive"
"Tue Nov 02 15:41:44 +0000 2021","1455560768997441537","@elonmusk <U+0001F62D><U+0001F62D><U+0001F62D> what if your poor","NA","2595318541","8",NA,NA,"@elonmusk <U+0001F62D><U+0001F62D><U+0001F62D> what if your poor","c(""@elonmusk"", ""<U+0001F62D><U+0001F62D><U+0001F62D>"", ""what"", ""if"", ""your"", ""poor"")","elonmusk <U+0001F62D><U+0001F62D><U+0001F62D> what if your poor","-0.5","negative"
"Tue Nov 02 15:41:45 +0000 2021","1455560770792558592","@dogsofelon @CoinMarketCap @teamseas @MrBeast @binance @cz_binance @Shibtoken @TheGivingBlock @HuobiGlobal @OKEx… https://t.co/wMKmtWjI59","NA","1302165488303251457","20",NA,"@dogsofelon @CoinMarketCap @teamseas @MrBeast @binance @cz_binance @Shibtoken @TheGivingBlock @HuobiGlobal @OKEx @elonmusk @Gemini @JayHao8 verry good project.","@dogsofelon @CoinMarketCap @teamseas @MrBeast @binance @cz_binance @Shibtoken @TheGivingBlock @HuobiGlobal @OKEx @elonmusk @Gemini @JayHao8 verry good project.","c(""@dogsofelon"", ""@CoinMarketCap"", ""@teamseas"", ""@MrBeast"", ""@binance"", ""@czbinance"", ""@Shibtoken"", ""@TheGivingBlock"", ""@HuobiGlobal"", ""@OKEx"", ""@elonmusk"", ""@Gemini"", ""@JayHao8"", ""verry"", ""good"", ""project"")","dogsofelon CoinMarketCap teamseas MrBeast binance cz_binance Shibtoken TheGivingBlock HuobiGlobal OKEx elonmusk Gemini JayHao8 verry good project.","0.75","positive"
"Tue Nov 02 15:41:46 +0000 2021","1455560775385366534","The mind of a genius.. #dogecoin #ElonMusk #tesla #cryptocurrency . Jokes on you fools!!! https://t.co/vvbg1AFhTk","NA","964690877686960129","123",NA,NA,"The mind of a genius.. #dogecoin #ElonMusk #tesla #cryptocurrency . Jokes on you fools!!! https://t.co/vvbg1AFhTk","c(""the"", ""mind"", ""of"", ""a"", ""genius"", ""#dogecoin"", ""#ElonMusk"", ""#tesla"", ""#cryptocurrency"", ""jokes"", ""on"", ""you"", ""fools"", ""https://t.co/vvbg1AFhTk"")","The mind of a genius.. dogecoin ElonMusk tesla cryptocurrency . Jokes on you fools!!! ","0.6","positive"
"Tue Nov 02 15:41:46 +0000 2021","1455560777167884299","@WSecrets_WSC Flokifam
MEME token with infinite DeFi -Services
High yield
NFT Farming
NFT AIRDROP for holders
Stake… https://t.co/Q5wO5D89NJ","NA","1454110207894712320","1",NA,"@WSecrets_WSC Flokifam
MEME token with infinite DeFi -Services
High yield
NFT Farming
NFT AIRDROP for holders
Stake any one of the coin and earn staking rewards of all 5 coins with high APY
On BSC stream 
Listing on PANCAKESWAP soon! 

Telegram : https://t.co/Knq7KqHka5
@elonmusk aa","@WSecrets_WSC Flokifam
MEME token with infinite DeFi -Services
High yield
NFT Farming
NFT AIRDROP for holders
Stake any one of the coin and earn staking rewards of all 5 coins with high APY
On BSC stream 
Listing on PANCAKESWAP soon! 

Telegram : https://t.co/Knq7KqHka5
@elonmusk aa","c(""@WSecretsWSC"", ""flokifam"", ""meme"", ""token"", ""with"", ""infinite"", ""defi"", ""services"", ""high"", ""yield"", ""nft"", ""farming"", ""nft"", ""airdrop"", ""for"", ""holders"", ""stake"", ""any"", ""one"", ""of"", ""the"", ""coin"", ""and"", ""earn"", ""staking"", ""rewards"", ""of"", ""all"", ""5"", ""coins"", ""with"", ""high"", ""apy"", ""on"", ""bsc"", ""stream"", ""listing"", ""on"", ""pancakeswap"", ""soon"", ""telegram"", ""https://t.co/Knq7KqHka5"", ""@elonmusk"", ""aa"")","WSecrets_WSC Flokifam
MEME token with infinite DeFi -Services
High yield
NFT Farming
NFT AIRDROP for holders
Stake any one of the coin and earn staking rewards of all 5 coins with high APY
On BSC stream 
Listing on PANCAKESWAP soon! 

Telegram : elonmusk aa","1.1","positive"
